image,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D
bedroom__174.png,0.1503145757974348,0.5575082905121026,0.4656039624183007,0.25581132865156675,0.3305839875500451,0.23283418462527133,-2.6218575800515893,0.005592993185305548,3.720820740470142,4.129866722668622,437.4821769109937,7.498897509395974,1.674282750957201
bedroom__175.png,0.17410965688789107,0.488732322423876,0.47331754238153584,0.29085499280439314,0.23889792978237642,0.2819339811071162,-2.736555257155275,0.0043753118676006725,4.19711700074771,4.319872394915106,255.87596473086091,7.343582016942993,1.7400879911054148
bedroom__176.png,0.3529395753617997,0.32836401207113214,0.49876281658496735,0.3601961408376775,0.2722306272320462,0.3068166652598741,-2.9708515935232627,0.010092592956301265,3.9338601121383565,4.124533632032777,346.85787780251513,7.657665100697374,1.7520885277242595
bedroom__177.png,0.26563517455174035,0.2943653343107375,0.500328929227941,0.323015634187565,0.24884928162791936,0.2234578090878395,-3.124692362250132,0.00926562075379591,3.74886158739531,3.8831502542826954,231.0076469189186,7.192907011900037,1.7459241191728538
bedroom__178.png,0.30837589127626575,0.3610482738784739,0.5232101970996732,0.3228808096146897,0.24935992537853796,0.22023630928784413,-3.059008674536767,0.012243188700812223,3.5191097346486444,3.6187345344564186,275.2873024936454,7.501978818199376,1.6652858569391449
bedroom__179.png,0.10484598820084291,0.4126137187124744,0.42514453124999996,0.1362204066570388,0.22020954235621584,0.1814291395141353,-2.709278128063128,0.010107430711002386,4.0078151382354115,4.267005671461171,298.51205879910725,7.390696479805572,1.6319743309143466
bedroom__18.png,0.4510516773292727,0.08069660915189276,0.4579203431372548,0.3743691603683018,0.0616329938770131,0.18579238444996998,-3.0418424260653416,0.006813541152600731,4.212439954196494,4.082369209590882,210.0065605533253,7.170972831470341,1.7354264357503086
bedroom__180.png,0.32053567248423553,0.2676435544157296,0.3750740527982027,0.2740789685915437,0.19318681714534464,0.2486696475410277,-2.652740222984287,0.015889002551448112,3.8842965254514548,4.1960909541661815,345.29869657936854,7.4698156815926025,1.647521700138465
bedroom__181.png,0.09003691400019426,0.3293238359949176,0.49611031964869284,0.05888376735775912,0.2067322055238854,0.26519517419546096,-2.9442773882392745,0.03797250145785221,3.7205388704253686,3.970335203231363,315.6367657514757,7.8556234740662765,1.739625151395413
bedroom__182.png,0.10729486266252354,0.4608174752300344,0.5931277062908498,0.09644824425315936,0.2322498265935066,0.3014878283119389,-2.719088969409749,0.011149872800303,4.106779656719736,4.132224338417885,285.1549648175136,7.583512575225143,1.801872414462577
